ID,Pose Title,Intensity,Standing,Sitting,Image,Target_Area,Twist,Balance
1,Bharadvaja's Twist,1,FALSE,TRUE,,HIP,TRUE,FALSE
2,Big Toe Pose,2,TRUE,FALSE,,LEGS,FALSE,FALSE
3,Boat Pose,5,FALSE,TRUE,,CORE,FALSE,TRUE
4,Bound Angle Pose,2,FALSE,TRUE,,HIP,FALSE,FALSE
5,Bow Pose,4,FALSE,TRUE,,BACK,FALSE,TRUE
6,Bridge Pose,3,FALSE,TRUE,,BACK,FALSE,FALSE
7,Camel Pose,3,FALSE,TRUE,,BACK,FALSE,FALSE
8,Cat Pose,2,FALSE,TRUE,,BACK,FALSE,FALSE
9,Chair Pose,4,TRUE,FALSE,,LEGS,FALSE,FALSE
10,Child's Pose,1,FALSE,TRUE,,HIP,FALSE,FALSE
11,Cobtra Pose,2,FALSE,TRUE,,BACK,FALSE,FALSE
12,Corpse Pose,1,FALSE,TRUE,,ALL,FALSE,FALSE
13,Cow Face Pose,3,FALSE,TRUE,,HIP,FALSE,FALSE
14,Cow Pose,2,FALSE,TRUE,,BACK,FALSE,FALSE
15,Crow Pose,5,FALSE,TRUE,,ARMS,FALSE,TRUE
16,Dolphin Pose,4,FALSE,TRUE,,CORE,FALSE,FALSE
17,Downward Dog,3,FALSE,TRUE,,ALL,FALSE,FALSE
18,Eagle Pose,4,TRUE,FALSE,,HIP,FALSE,TRUE
19,Easy Pose,1,FALSE,TRUE,,ALL,FALSE,FALSE
20,Eight-Angle Pose,5,FALSE,TRUE,,ARMS,TRUE,TRUE
21,Extended Hand-To-Big-Toe,5,TRUE,FALSE,,LEGS,FALSE,TRUE
22,Extended Puppy Pose,3,FALSE,TRUE,,BACK,FALSE,FALSE
23,Extended Side Angle,4,TRUE,FALSE,,LEG,FALSE,FALSE
24,Triangle Pose,4,TRUE,FALSE,,LEG,FALSE,FALSE
25,Fire Log Pose,4,FALSE,TRUE,,HIP,FALSE,FALSE
26,Firefly Pose,5,FALSE,TRUE,,ARMS,FALSE,TRUE
27,Fish Pose,3,FALSE,TRUE,,BACK,FALSE,FALSE
28,Four-Limbed Staff,4,FALSE,TRUE,,ARMS,FALSE,FALSE
29,Garland Pose,3,FALSE,TRUE,,HIP,FALSE,FALSE
30,Gate Pose,3,FALSE,TRUE,,ALL,FALSE,FALSE
31,Half Frog Pose,3,FALSE,TRUE,,LEGS,FALSE,FALSE
32,Half Lord of The Fishes Pose,2,FALSE,TRUE,,HIP,TRUE,FALSE
33,Half Moon Pose,4,TRUE,FALSE,,LEGS,FALSE,TRUE
34,Handstand,5,FALSE,TRUE,,ARMS,FALSE,TRUE
35,Happy Baby Pose,2,FALSE,TRUE,,HIP,FALSE,FALSE
36,Head-to-knee Forward Bend,2,FALSE,TRUE,,HIP,FALSE,FALSE
37,Hero Pose,1,FALSE,TRUE,,HIP,FALSE,FALSE
38,Heron Pose,3,FALSE,TRUE,,HIP,FALSE,FALSE
39,High Lunge,4,TRUE,FALSE,,LEGS,FALSE,FALSE
40,Intense Side Stretch,3,TRUE,FALSE,,HIP,FALSE,FALSE
41,Legs-up-the-wall,1,FALSE,TRUE,,ALL,FALSE,FALSE
42,Locust,3,FALSE,TRUE,,BACK,FALSE,FALSE
43,Lord of the Dance,5,TRUE,FALSE,,BACK,FALSE,TRUE
44,Low Lunge,3,TRUE,FALSE,,LEGS,FALSE,FALSE
45,Marichi's Pose,3,FALSE,TRUE,,HIP,TRUE,FALSE
46,Monkey Pose,5,FALSE,TRUE,,HIP,FALSE,FALSE
47,Mountain Pose,1,TRUE,FALSE,,ALL,FALSE,FALSE
48,Noose Pose,3,FALSE,TRUE,,HIP,TRUE,FALSE
49,One-legged King Pigeon,5,FALSE,TRUE,,BACK,FALSE,FALSE
50,Peacock,5,FALSE,TRUE,,ARMS,FALSE,FALSE
51,Pigeon,5,FALSE,TRUE,,BACK,FALSE,FALSE
52,Plank,4,FALSE,TRUE,,CORE,FALSE,FALSE
53,Plow,4,FALSE,TRUE,,ALL,FALSE,FALSE
54,Reclining Bound Angle Pose,1,FALSE,TRUE,,HIP,FALSE,FALSE
55,Reclining Hand-to-Big-Toe Pose,3,FALSE,TRUE,,HIP,FALSE,FALSE
56,Bent-Knee Down Dog,2,FALSE,TRUE,,ALL,FALSE,FALSE
57,Reclining Hero Pose,3,FALSE,TRUE,,ALL,FALSE,FALSE
58,Revolved Head-to-Knee Pose,4,FALSE,TRUE,,HIP,TRUE,FALSE
59,Revolved Side Angle,5,TRUE,FALSE,,LEGS,TRUE,FALSE
60,Revolved Triangle,4,TRUE,FALSE,,LEGS,TRUE,FALSE
61,Scale Pose,5,FALSE,TRUE,,ARMS,FALSE,FALSE
62,Seated Forward Bend,3,FALSE,TRUE,,HIP,FALSE,FALSE
63,Side Crow,5,FALSE,TRUE,,ARMS,TRUE,TRUE
64,Side Plank,4,FALSE,TRUE,,ARMS,FALSE,TRUE
65,Side-Reclining Leg Lift,4,FALSE,TRUE,,CORE,FALSE,TRUE
66,Sphinx,3,FALSE,TRUE,,BACK,FALSE,FALSE
67,Staff Pose,2,FALSE,TRUE,,ARMS,FALSE,FALSE
68,Standing Forward Bend,2,TRUE,FALSE,,ALL,FALSE,FALSE
69,Standing Halfway Lift,2,TRUE,FALSE,,ALL,FALSE,FALSE
70,Standing Split,4,TRUE,FALSE,,LEGS,FALSE,TRUE
71,Supported Headstand,4,FALSE,TRUE,,ALL,FALSE,TRUE
72,Supported Shoulder Stand,3,FALSE,TRUE,,ALL,FALSE,TRUE
73,Tree Pose,3,TRUE,FALSE,,LEGS,FALSE,TRUE
74,Upward Plank,4,FALSE,TRUE,,CORE,FALSE,TRUE
75,Upward Salute,1,TRUE,FALSE,,ALL,FALSE,FALSE
76,Upward-Facing Dog,3,FALSE,TRUE,,BACK,FALSE,FALSE
77,Warrior 1,4,TRUE,FALSE,,LEGS,FALSE,FALSE
78,Warrior 2,4,TRUE,FALSE,,LEGS,FALSE,FALSE
79,Warrior 3,4,TRUE,FALSE,,LEGS,FALSE,FALSE
80,Wheel Pose,4,FALSE,TRUE,,BACK,FALSE,FALSE
81,Wide-Angle Seated Fold,3,FALSE,TRUE,,HIP,FALSE,FALSE
82,Wide-Legged Forward Bend,3,TRUE,FALSE,,HIP,FALSE,FALSE
8,Wild Thing,4,FALSE,TRUE,,BACK,FALSE,FALSE